index	probe	freq	num_sel
1823	M27891_at	1.000	4/4
4877	Y00433_at	1.000	4/4
1720	M19507_at	1.000	4/4
6142	Y00787_s_at	1.000	4/4
2343	M96326_rna1_at	1.000	4/4
6150	Z19554_s_at	0.750	3/4
1317	L19779_at	0.750	3/4
5589	D49824_s_at	0.750	3/4
6730	HG3576-HT3779_f_at	0.750	3/4
6120	M14328_s_at	0.750	3/4
6825	U01317_cds4_at	0.750	3/4
2286	M91036_rna1_at	0.750	3/4
5249	L20688_at	0.750	3/4
5493	L06797_s_at	0.750	3/4
4560	X78992_at	0.750	3/4
1050	J04164_at	0.750	3/4
6554	Z48501_s_at	0.750	3/4
1615	M11147_at	0.750	3/4
1335	L20941_at	0.750	3/4
0	hum_alu_at	0.750	3/4
1704	M17733_at	0.500	2/4
3199	U46751_at	0.500	2/4
1645	M13792_at	0.500	2/4
1635	M12886_at	0.500	2/4
224	D21261_at	0.500	2/4
6109	M13560_s_at	0.500	2/4
2583	U05259_rna1_at	0.500	2/4
1491	L38941_at	0.500	2/4
4137	X17042_at	0.500	2/4
5880	J02621_s_at	0.500	2/4
6122	M14483_rna1_s_at	0.500	2/4
5657	X57351_s_at	0.500	2/4
2127	M69043_at	0.500	2/4
2175	M77232_rna1_at	0.500	2/4
6141	M28130_rna1_s_at	0.500	2/4
5651	M25079_s_at	0.500	2/4
5170	Z84721_cds2_at	0.500	2/4
4099	X15183_at	0.500	2/4
